"GEOID","County","Male_Population","Female_Population"
"17117","Macoupin County, Illinois",22332,22575
"17119","Madison County, Illinois",130136,135376
"17121","Marion County, Illinois",18520,19023
"17123","Marshall County, Illinois",5906,5834
"17125","Mason County, Illinois",6433,6641
"17127","Massac County, Illinois",6869,7266
"17129","Menard County, Illinois",6051,6233
"17131","Mercer County, Illinois",7951,7741
"17133","Monroe County, Illinois",17530,17375
"17135","Montgomery County, Illinois",15006,13346
"17137","Morgan County, Illinois",16317,16565
"17139","Moultrie County, Illinois",7171,7360
"17141","Ogle County, Illinois",25836,25836
"17143","Peoria County, Illinois",88477,92709
"17145","Perry County, Illinois",11462,9534
"17147","Piatt County, Illinois",8227,8471
"17149","Pike County, Illinois",7404,7372
"17151","Pope County, Illinois",1966,1833
"17153","Pulaski County, Illinois",2600,2577
"17155","Putnam County, Illinois",2886,2742
"17157","Randolph County, Illinois",16471,13942
"17159","Richland County, Illinois",7847,7869
"17161","Rock Island County, Illinois",71318,72501
"17163","St. Clair County, Illinois",124864,131927
"17165","Saline County, Illinois",11604,12058
"17167","Sangamon County, Illinois",94848,101274
"17169","Schuyler County, Illinois",3813,3066
"17171","Scott County, Illinois",2468,2431
"17173","Shelby County, Illinois",10434,10608
"17175","Stark County, Illinois",2720,2675
"17177","Stephenson County, Illinois",21763,22719
"17179","Tazewell County, Illinois",64995,66281
"17181","Union County, Illinois",8662,8460
"17183","Vermilion County, Illinois",37165,36948
"17185","Wabash County, Illinois",5516,5805
"17187","Warren County, Illinois",8311,8449
"17189","Washington County, Illinois",7013,6768
"17191","Wayne County, Illinois",8092,8035
"17193","White County, Illinois",6758,7076
"17195","Whiteside County, Illinois",27939,27630
"17197","Will County, Illinois",348352,348422
"17199","Williamson County, Illinois",33757,33363
"17201","Winnebago County, Illinois",139697,144894
"17203","Woodford County, Illinois",19241,19173
"18001","Adams County, Indiana",17994,17833
"18003","Allen County, Indiana",189922,195534
"18005","Bartholomew County, Indiana",41670,40701
"18007","Benton County, Indiana",4389,4320
"18009","Blackford County, Indiana",5892,6182
"18011","Boone County, Indiana",35557,35678
"18013","Brown County, Indiana",7767,7746
"18015","Carroll County, Indiana",10389,10008
"18017","Cass County, Indiana",18812,19008
"18019","Clark County, Indiana",59727,61757
"18021","Clay County, Indiana",13130,13266
"18023","Clinton County, Indiana",16560,16460
"18025","Crawford County, Indiana",5422,5089
"18027","Daviess County, Indiana",16621,16716
"18029","Dearborn County, Indiana",25306,25403
"18031","Decatur County, Indiana",13231,13201
"18033","DeKalb County, Indiana",21585,21727
"18035","Delaware County, Indiana",54338,57818
"18037","Dubois County, Indiana",21908,21676
"18039","Elkhart County, Indiana",102604,104237
"18041","Fayette County, Indiana",11504,11887
"18043","Floyd County, Indiana",39240,40951
"18045","Fountain County, Indiana",8249,8219
"18047","Franklin County, Indiana",11368,11482
"18049","Fulton County, Indiana",10257,10163
"18051","Gibson County, Indiana",16739,16267
"18053","Grant County, Indiana",31961,34599
"18055","Greene County, Indiana",15614,15286
"18057","Hamilton County, Indiana",172239,177288
"18059","Hancock County, Indiana",39956,40214
"18061","Harrison County, Indiana",20025,19659
"18063","Hendricks County, Indiana",88267,87372
"18065","Henry County, Indiana",25877,23036
"18067","Howard County, Indiana",40618,42834
"18069","Huntington County, Indiana",18383,18316
"18071","Jackson County, Indiana",23240,22972
"18073","Jasper County, Indiana",16600,16445
"18075","Jay County, Indiana",10298,10153
"18077","Jefferson County, Indiana",15864,17193
"18079","Jennings County, Indiana",14060,13550
"18081","Johnson County, Indiana",80197,81755
"18083","Knox County, Indiana",18385,17763
"18085","Kosciusko County, Indiana",40282,40160
"18087","LaGrange County, Indiana",20433,19931
"18089","Lake County, Indiana",242732,254950
"18091","LaPorte County, Indiana",58203,54012
"18093","Lawrence County, Indiana",22278,22835
"18095","Madison County, Indiana",65913,64632
"18097","Marion County, Indiana",471206,500531
"18099","Marshall County, Indiana",23370,22838
"18101","Martin County, Indiana",5091,4772
"18103","Miami County, Indiana",19575,16377
"18105","Monroe County, Indiana",69953,70112
"18107","Montgomery County, Indiana",19455,18563
"18109","Morgan County, Indiana",35959,35798
"18111","Newton County, Indiana",7123,6706
"18113","Noble County, Indiana",23977,23454
"18115","Ohio County, Indiana",2959,3015
"18117","Orange County, Indiana",9889,9879
"18119","Owen County, Indiana",10898,10463
"18121","Parke County, Indiana",7861,8466
"18123","Perry County, Indiana",10419,8767
"18125","Pike County, Indiana",6092,6135
"18127","Porter County, Indiana",86060,87295
"18129","Posey County, Indiana",12735,12491
"18131","Pulaski County, Indiana",6255,6243
"18133","Putnam County, Indiana",19430,17512
"18135","Randolph County, Indiana",12318,12268
"18137","Ripley County, Indiana",14424,14566
"18139","Rush County, Indiana",8374,8342
"18141","St. Joseph County, Indiana",133435,138953
"18143","Scott County, Indiana",12208,12195
"18145","Shelby County, Indiana",22269,22671
"18147","Spencer County, Indiana",10161,9774
"18149","Starke County, Indiana",11724,11584
"18151","Steuben County, Indiana",17722,16785
"18153","Sullivan County, Indiana",11140,9651
"18155","Switzerland County, Indiana",5046,4850
"18157","Tippecanoe County, Indiana",96158,90797
"18159","Tipton County, Indiana",7637,7691
"18161","Union County, Indiana",3487,3554
"18163","Vanderburgh County, Indiana",88005,91895
"18165","Vermillion County, Indiana",7852,7636
"18167","Vigo County, Indiana",53823,52532
"18169","Wabash County, Indiana",15174,15858
"18171","Warren County, Indiana",4216,4238
"18173","Warrick County, Indiana",31526,32539
"18175","Washington County, Indiana",13988,14145
"18177","Wayne County, Indiana",32540,33982
"18179","Wells County, Indiana",13959,14208
"18181","White County, Indiana",12424,12206
"18183","Whitley County, Indiana",17275,16984
"19001","Adair County, Iowa",3816,3663
"19003","Adams County, Iowa",1850,1830
"19005","Allamakee County, Iowa",7088,6958
"19007","Appanoose County, Iowa",6147,6132
"19009","Audubon County, Iowa",2811,2840
"19011","Benton County, Iowa",12934,12718
"19013","Black Hawk County, Iowa",64632,66409
"19015","Boone County, Iowa",13632,13068
"19017","Bremer County, Iowa",12529,12483
"19019","Buchanan County, Iowa",10340,10291
"19021","Buena Vista County, Iowa",10599,10088
"19023","Butler County, Iowa",7132,7244
"19025","Calhoun County, Iowa",5162,4731
"19027","Carroll County, Iowa",10370,10358
"19029","Cass County, Iowa",6493,6623
"19031","Cedar County, Iowa",9162,9317
"19033","Cerro Gordo County, Iowa",21433,21546
"19035","Cherokee County, Iowa",5842,5759
"19037","Chickasaw County, Iowa",6115,5842
"19039","Clarke County, Iowa",5039,4698
"19041","Clay County, Iowa",8029,8394
"19043","Clayton County, Iowa",8663,8460
"19045","Clinton County, Iowa",22930,23558
"19047","Crawford County, Iowa",8167,8283
"19049","Dallas County, Iowa",49977,50390
"19051","Davis County, Iowa",4636,4457
"19053","Decatur County, Iowa",3912,3772
"19055","Delaware County, Iowa",8944,8579
"19057","Des Moines County, Iowa",19118,19706
"19059","Dickinson County, Iowa",8843,8849
"19061","Dubuque County, Iowa",49036,49776
"19063","Emmet County, Iowa",4635,4714
"19065","Fayette County, Iowa",9870,9649
"19067","Floyd County, Iowa",7993,7608
"19069","Franklin County, Iowa",5078,4937
"19071","Fremont County, Iowa",3327,3312
"19073","Greene County, Iowa",4373,4428
"19075","Grundy County, Iowa",6151,6200
"19077","Guthrie County, Iowa",5325,5294
"19079","Hamilton County, Iowa",7637,7342
"19081","Hancock County, Iowa",5493,5297
"19083","Hardin County, Iowa",8496,8365
"19085","Harrison County, Iowa",7452,7171
"19087","Henry County, Iowa",10749,9687
"19089","Howard County, Iowa",4787,4692
"19091","Humboldt County, Iowa",4857,4749
"19093","Ida County, Iowa",3506,3463
"19095","Iowa County, Iowa",8470,8105
"19097","Jackson County, Iowa",9867,9603
"19099","Jasper County, Iowa",19739,18069
"19101","Jefferson County, Iowa",8293,7492
"19103","Johnson County, Iowa",76466,76894
"19105","Jones County, Iowa",10828,9905
"19107","Keokuk County, Iowa",5147,4879
"19109","Kossuth County, Iowa",7433,7285
"19111","Lee County, Iowa",16597,16845
"19113","Linn County, Iowa",113646,115662
"19115","Louisa County, Iowa",5572,5251
"19117","Lucas County, Iowa",4457,4209
"19119","Lyon County, Iowa",6161,5862
"19121","Madison County, Iowa",8470,8139
"19123","Mahaska County, Iowa",11202,10857
"19125","Marion County, Iowa",16755,16732
"19127","Marshall County, Iowa",20302,19747
"19129","Mills County, Iowa",7156,7449
"19131","Mitchell County, Iowa",5286,5251
"19133","Monona County, Iowa",4201,4470
"19135","Monroe County, Iowa",3774,3800
"19137","Montgomery County, Iowa",4977,5308
"19139","Muscatine County, Iowa",21552,21416
"19141","O'Brien County, Iowa",7007,7131
"19143","Osceola County, Iowa",3195,2954
"19145","Page County, Iowa",8006,7219
"19147","Palo Alto County, Iowa",4526,4412
"19149","Plymouth County, Iowa",13013,12608
"19151","Pocahontas County, Iowa",3502,3559
"19153","Polk County, Iowa",245241,248137
"19155","Pottawattamie County, Iowa",46861,46682
"19157","Poweshiek County, Iowa",9129,9479
"19159","Ringgold County, Iowa",2317,2373
"19161","Sac County, Iowa",4938,4840
"19163","Scott County, Iowa",86169,88146
"19165","Shelby County, Iowa",5704,6033
"19167","Sioux County, Iowa",18140,17675
"19169","Story County, Iowa",51726,46847
"19171","Tama County, Iowa",8627,8390
"19173","Taylor County, Iowa",2949,2967
"19175","Union County, Iowa",5899,6208
"19177","Van Buren County, Iowa",3687,3520
"19179","Wapello County, Iowa",17753,17539
"19181","Warren County, Iowa",26268,26441
"19183","Washington County, Iowa",11121,11413
"19185","Wayne County, Iowa",3238,3246
"19187","Webster County, Iowa",19367,17619
"19189","Winnebago County, Iowa",5425,5279
"19191","Winneshiek County, Iowa",10072,9978
"19193","Woodbury County, Iowa",52847,52679
"19195","Worth County, Iowa",3814,3603
"19197","Wright County, Iowa",6553,6344
"20001","Allen County, Kansas",6206,6348
"20003","Anderson County, Kansas",3886,3913
"20005","Atchison County, Kansas",7909,8400
"20007","Barber County, Kansas",2093,1988
"20009","Barton County, Kansas",12548,12929
"20011","Bourbon County, Kansas",7015,7390
"20013","Brown County, Kansas",4715,4771
"20015","Butler County, Kansas",34400,33218
"20017","Chase County, Kansas",1322,1248
"20019","Chautauqua County, Kansas",1763,1626
"20021","Cherokee County, Kansas",9485,9895
"20023","Cheyenne County, Kansas",1373,1246
"20025","Clark County, Kansas",1017,960
"20027","Clay County, Kansas",4113,3975
"20029","Cloud County, Kansas",4653,4355
"20031","Coffey County, Kansas",4191,4143
"20033","Comanche County, Kansas",914,911
"20035","Cowley County, Kansas",17550,17111
"20037","Crawford County, Kansas",19945,19067
"20039","Decatur County, Kansas",1407,1364
"20041","Dickinson County, Kansas",9403,9089
"20043","Doniphan County, Kansas",3884,3617
"20045","Douglas County, Kansas",59385,59709
"20047","Edwards County, Kansas",1404,1445
"20049","Elk County, Kansas",1245,1208
"20051","Ellis County, Kansas",14463,14458
"20053","Ellsworth County, Kansas",3578,2796
"20055","Finney County, Kansas",19697,18490
"20057","Ford County, Kansas",17709,16503
"20059","Franklin County, Kansas",13000,12968
"20061","Geary County, Kansas",19277,16970
"20063","Gove County, Kansas",1402,1356
"20065","Graham County, Kansas",1203,1227
"20067","Grant County, Kansas",4087,3249
"20069","Gray County, Kansas",2933,2786
"20071","Greeley County, Kansas",609,670
"20073","Greenwood County, Kansas",3045,2956
"20075","Hamilton County, Kansas",1287,1233
"20077","Harper County, Kansas",2698,2759
"20079","Harvey County, Kansas",16679,17280
"20081","Haskell County, Kansas",1824,1911
"20083","Hodgeman County, Kansas",849,921
"20085","Jackson County, Kansas",6748,6526
"20087","Jefferson County, Kansas",9299,9088
"20089","Jewell County, Kansas",1521,1408
"20091","Johnson County, Kansas",302382,308360
"20093","Kearny County, Kansas",2041,1923
"20095","Kingman County, Kansas",3744,3625
"20097","Kiowa County, Kansas",1150,1295
"20099","Labette County, Kansas",10233,9863
"20101","Lane County, Kansas",754,774
"20103","Leavenworth County, Kansas",43746,38304
"20105","Lincoln County, Kansas",1494,1435
"20107","Linn County, Kansas",5009,4687
"20109","Logan County, Kansas",1427,1325
"20111","Lyon County, Kansas",15699,16483
"20113","McPherson County, Kansas",14968,15117
"20115","Marion County, Kansas",5993,5874
"20117","Marshall County, Kansas",5032,4982
"20119","Meade County, Kansas",1999,2020
"20121","Miami County, Kansas",17443,16869
"20123","Mitchell County, Kansas",2924,2905
"20125","Montgomery County, Kansas",15848,15600
"20127","Morris County, Kansas",2791,2594
"20129","Morton County, Kansas",1268,1420
"20131","Nemaha County, Kansas",5224,4995
"20133","Neosho County, Kansas",7835,7991
"20135","Ness County, Kansas",1370,1307
"20137","Norton County, Kansas",3053,2378
"20139","Osage County, Kansas",8107,7680
"20141","Osborne County, Kansas",1757,1736
"20143","Ottawa County, Kansas",3025,2743
"20145","Pawnee County, Kansas",3448,2840
"20147","Phillips County, Kansas",2526,2434
"20149","Pottawatomie County, Kansas",12835,12647
"20151","Pratt County, Kansas",4607,4568
"20153","Rawlins County, Kansas",1304,1240
"20155","Reno County, Kansas",31255,30626
"20157","Republic County, Kansas",2319,2367
"20159","Rice County, Kansas",4857,4584
"20161","Riley County, Kansas",38502,33603
"20163","Rooks County, Kansas",2442,2483
"20165","Rush County, Kansas",1511,1428
"20167","Russell County, Kansas",3291,3411
"20169","Saline County, Kansas",26987,27173
"20171","Scott County, Kansas",2617,2511
"20173","Sedgwick County, Kansas",260195,262505
"20175","Seward County, Kansas",11564,10378
"20177","Shawnee County, Kansas",87074,91551
"20179","Sheridan County, Kansas",1260,1190
"20181","Sherman County, Kansas",3136,2804
"20183","Smith County, Kansas",1837,1724
"20185","Stafford County, Kansas",2116,1938
"20187","Stanton County, Kansas",1077,983
"20189","Stevens County, Kansas",2729,2546
"20191","Sumner County, Kansas",11374,11143
"20193","Thomas County, Kansas",3957,3950
"20195","Trego County, Kansas",1410,1388
"20197","Wabaunsee County, Kansas",3527,3395
"20199","Wallace County, Kansas",774,715
"20201","Washington County, Kansas",2877,2652
"20203","Wichita County, Kansas",1120,1011
"20205","Wilson County, Kansas",4329,4338
"20207","Woodson County, Kansas",1602,1532
"20209","Wyandotte County, Kansas",84439,83550
"21001","Adair County, Kentucky",9564,9323
"21003","Allen County, Kentucky",10364,10409
"21005","Anderson County, Kentucky",12072,11767
"21007","Ballard County, Kentucky",3905,3837
"21009","Barren County, Kentucky",21654,22857
"21011","Bath County, Kentucky",6434,6305
"21013","Bell County, Kentucky",12167,12081
"21015","Boone County, Kentucky",67954,68196
"21017","Bourbon County, Kentucky",9944,10284
"21019","Boyd County, Kentucky",24188,24054
"21021","Boyle County, Kentucky",15451,15162
"21023","Bracken County, Kentucky",4238,4182
"21025","Breathitt County, Kentucky",6865,6715
"21027","Breckinridge County, Kentucky",10403,10125
"21029","Bullitt County, Kentucky",41383,41099
"21031","Butler County, Kentucky",6315,6050
"21033","Caldwell County, Kentucky",6229,6406
"21035","Calloway County, Kentucky",18201,19144
"21037","Campbell County, Kentucky",46195,46927
"21039","Carlisle County, Kentucky",2402,2380
"21041","Carroll County, Kentucky",5554,5288
"21043","Carter County, Kentucky",13343,13328
"21045","Casey County, Kentucky",7713,8229
"21047","Christian County, Kentucky",38239,34527
"21049","Clark County, Kentucky",18043,18854
"21051","Clay County, Kentucky",10703,9619
"21053","Clinton County, Kentucky",4644,4651
"21055","Crittenden County, Kentucky",4618,4361
"21057","Cumberland County, Kentucky",2925,3049
"21059","Daviess County, Kentucky",50574,52342
"21061","Edmonson County, Kentucky",6134,6045
"21063","Elliott County, Kentucky",4229,3149
"21065","Estill County, Kentucky",7158,6980
"21067","Fayette County, Kentucky",158371,162905
"21069","Fleming County, Kentucky",7576,7535
"21071","Floyd County, Kentucky",17535,18245
"21073","Franklin County, Kentucky",24937,26538
"21075","Fulton County, Kentucky",3359,3121
"21077","Gallatin County, Kentucky",4514,4206
"21079","Garrard County, Kentucky",8444,8731
"21081","Grant County, Kentucky",12716,12369
"21083","Graves County, Kentucky",18097,18604
"21085","Grayson County, Kentucky",13178,13287
"21087","Green County, Kentucky",5611,5587
"21089","Greenup County, Kentucky",17610,18243
"21091","Hancock County, Kentucky",4613,4445
"21093","Hardin County, Kentucky",55411,55594
"21095","Harlan County, Kentucky",12841,13748
"21097","Harrison County, Kentucky",9126,9677
"21099","Hart County, Kentucky",9580,9765
"21101","Henderson County, Kentucky",21685,23085
"21103","Henry County, Kentucky",7860,7871
"21105","Hickman County, Kentucky",2153,2338
"21107","Hopkins County, Kentucky",22060,23163
"21109","Jackson County, Kentucky",6507,6495
"21111","Jefferson County, Kentucky",379431,399801
"21113","Jessamine County, Kentucky",25920,27461
"21115","Johnson County, Kentucky",11327,11304
"21117","Kenton County, Kentucky",84198,84868
"21119","Knott County, Kentucky",7100,7182
"21121","Knox County, Kentucky",14686,15521
"21123","Larue County, Kentucky",7360,7542
"21125","Laurel County, Kentucky",30964,31478
"21127","Lawrence County, Kentucky",8148,8080
"21129","Lee County, Kentucky",4183,3155
"21131","Leslie County, Kentucky",5249,5219
"21133","Letcher County, Kentucky",10702,10788
"21135","Lewis County, Kentucky",6475,6588
"21137","Lincoln County, Kentucky",11989,12331
"21139","Livingston County, Kentucky",4444,4536
"21141","Logan County, Kentucky",13456,14042
"21143","Lyon County, Kentucky",4924,3797
"21145","McCracken County, Kentucky",32855,34718
"21147","McCreary County, Kentucky",9229,7663
"21149","McLean County, Kentucky",4604,4569
"21151","Madison County, Kentucky",45489,47466
"21153","Magoffin County, Kentucky",5888,5759
"21155","Marion County, Kentucky",9879,9748
"21157","Marshall County, Kentucky",15768,15938
"21159","Martin County, Kentucky",6382,4916
"21161","Mason County, Kentucky",8367,8701
"21163","Meade County, Kentucky",15083,14881
"21165","Menifee County, Kentucky",3284,2890
"21167","Mercer County, Kentucky",11343,11319
"21169","Metcalfe County, Kentucky",5128,5185
"21171","Monroe County, Kentucky",5645,5686
"21173","Montgomery County, Kentucky",13700,14488
"21175","Morgan County, Kentucky",8000,5840
"21177","Muhlenberg County, Kentucky",15577,15158
"21179","Nelson County, Kentucky",23364,23415
"21181","Nicholas County, Kentucky",3823,3790
"21183","Ohio County, Kentucky",11966,11816
"21185","Oldham County, Kentucky",35607,32390
"21187","Owen County, Kentucky",5702,5527
"21189","Owsley County, Kentucky",2009,2045
"21191","Pendleton County, Kentucky",7588,7050
"21193","Perry County, Kentucky",13893,14243
"21195","Pike County, Kentucky",28771,29425
"21197","Powell County, Kentucky",6658,6431
"21199","Pulaski County, Kentucky",32025,33120
"21201","Robertson County, Kentucky",944,1263
"21203","Rockcastle County, Kentucky",8035,8136
"21205","Rowan County, Kentucky",11940,12611
"21207","Russell County, Kentucky",8931,9090
"21209","Scott County, Kentucky",28239,29047
"21211","Shelby County, Kentucky",23719,24386
"21213","Simpson County, Kentucky",9912,9662
"21215","Spencer County, Kentucky",9878,9671
"21217","Taylor County, Kentucky",12768,13288
"21219","Todd County, Kentucky",6269,6012
"21221","Trigg County, Kentucky",7031,7123
"21223","Trimble County, Kentucky",4271,4239
"21225","Union County, Kentucky",6847,6648
"21227","Warren County, Kentucky",66809,68498
"21229","Washington County, Kentucky",6026,5999
"21231","Wayne County, Kentucky",9723,9943
"21233","Webster County, Kentucky",6488,6463
"21235","Whitley County, Kentucky",18114,18534
"21237","Wolfe County, Kentucky",3442,3131
"21239","Woodford County, Kentucky",12883,14003
"22001","Acadia Parish, Louisiana",28596,29078
"22003","Allen Parish, Louisiana",12751,10047
"22005","Ascension Parish, Louisiana",62764,64209
"22007","Assumption Parish, Louisiana",10039,11028
"22009","Avoyelles Parish, Louisiana",19774,19755
"22011","Beauregard Parish, Louisiana",18747,17806
"22013","Bienville Parish, Louisiana",6192,6766
"22015","Bossier Parish, Louisiana",64006,64871
"22017","Caddo Parish, Louisiana",112058,124201
"22019","Calcasieu Parish, Louisiana",103638,107132
"22021","Caldwell Parish, Louisiana",5100,4558
"22023","Cameron Parish, Louisiana",2989,2458
"22025","Catahoula Parish, Louisiana",4655,4240
"22027","Claiborne Parish, Louisiana",7656,6547
"22029","Concordia Parish, Louisiana",9298,9379
"22031","De Soto Parish, Louisiana",13130,13691
"22033","East Baton Rouge Parish, Louisiana",217767,236602
"22035","East Carroll Parish, Louisiana",4122,3249
"22037","East Feliciana Parish, Louisiana",10737,8715
"22039","Evangeline Parish, Louisiana",16410,15925
"22041","Franklin Parish, Louisiana",9408,10344
"22043","Grant Parish, Louisiana",12556,9629
"22045","Iberia Parish, Louisiana",34540,35418
"22047","Iberville Parish, Louisiana",15365,14845
"22049","Jackson Parish, Louisiana",7624,7469
"22051","Jefferson Parish, Louisiana",212244,223927
"22053","Jefferson Davis Parish, Louisiana",16068,16209
"22055","Lafayette Parish, Louisiana",119067,124108
"22057","Lafourche Parish, Louisiana",47908,49312
"22059","LaSalle Parish, Louisiana",7999,6765
"22061","Lincoln Parish, Louisiana",23783,24540
"22063","Livingston Parish, Louisiana",70817,72608
"22065","Madison Parish, Louisiana",4770,5258
"22067","Morehouse Parish, Louisiana",12407,13031
"22069","Natchitoches Parish, Louisiana",18089,19389
"22071","Orleans Parish, Louisiana",179688,200720
"22073","Ouachita Parish, Louisiana",77016,82569
"22075","Plaquemines Parish, Louisiana",12112,11193
"22077","Pointe Coupee Parish, Louisiana",10201,10451
"22079","Rapides Parish, Louisiana",62847,66689
"22081","Red River Parish, Louisiana",3839,3792
"22083","Richland Parish, Louisiana",9951,10077
"22085","Sabine Parish, Louisiana",11048,11161
"22087","St. Bernard Parish, Louisiana",21711,22327
"22089","St. Charles Parish, Louisiana",26017,26174
"22091","St. Helena Parish, Louisiana",5400,5472
"22093","St. James Parish, Louisiana",9716,10374
"22095","St. John the Baptist Parish, Louisiana",20563,21423
"22097","St. Landry Parish, Louisiana",40045,42529
"22099","St. Martin Parish, Louisiana",25442,26414
"22101","St. Mary Parish, Louisiana",24037,25077
"22103","St. Tammany Parish, Louisiana",130486,135682
"22105","Tangipahoa Parish, Louisiana",65523,68430
"22107","Tensas Parish, Louisiana",1948,2179
"22109","Terrebonne Parish, Louisiana",53934,54928
"22111","Union Parish, Louisiana",10450,10599
"22113","Vermilion Parish, Louisiana",27840,29362
"22115","Vernon Parish, Louisiana",25336,23116
"22117","Washington Parish, Louisiana",22961,22553
"22119","Webster Parish, Louisiana",18033,18728
"22121","West Baton Rouge Parish, Louisiana",13586,13791
"22123","West Carroll Parish, Louisiana",4829,4971
"22125","West Feliciana Parish, Louisiana",10458,4900
"22127","Winn Parish, Louisiana",7258,6407
"23001","Androscoggin County, Maine",54855,56677
"23003","Aroostook County, Maine",33504,33733
"23005","Cumberland County, Maine",148066,155291
"23007","Franklin County, Maine",14662,15177
"23009","Hancock County, Maine",27342,28509
"23011","Kennebec County, Maine",60678,63325
"23013","Knox County, Maine",20526,20203
"23015","Lincoln County, Maine",17538,17928
"23017","Oxford County, Maine",29200,29076
"23019","Penobscot County, Maine",75942,76698
"23021","Piscataquis County, Maine",8571,8365
"23023","Sagadahoc County, Maine",18230,18638
"23025","Somerset County, Maine",25290,25366
"23027","Waldo County, Maine",19799,19973
"23029","Washington County, Maine",15385,15711
"23031","York County, Maine",104642,108049
"24001","Allegany County, Maryland",35912,32249
"24003","Anne Arundel County, Maryland",291860,296249
"24005","Baltimore County, Maryland",405306,445431
"24009","Calvert County, Maryland",46543,46701
"24011","Caroline County, Maryland",16414,16906
"24013","Carroll County, Maryland",86406,86819
"24015","Cecil County, Maryland",51773,52103
"24017","Charles County, Maryland",80711,86324
"24019","Dorchester County, Maryland",15261,17296
"24021","Frederick County, Maryland",135810,138019
"24023","Garrett County, Maryland",14499,14357
"24025","Harford County, Maryland",128609,132450
"24027","Howard County, Maryland",164011,168000
"24029","Kent County, Maryland",9215,10074
"24031","Montgomery County, Maryland",515682,541228
"24033","Prince George's County, Maryland",463483,493706
"24035","Queen Anne's County, Maryland",25045,25271
"24037","St. Mary's County, Maryland",57408,56406
"24039","Somerset County, Maryland",13521,11151
"24041","Talbot County, Maryland",18023,19640
"24043","Washington County, Maryland",78755,75890
"24045","Wicomico County, Maryland",49720,54095
"24047","Worcester County, Maryland",25841,26986
"24510","Baltimore city, Maryland",273088,311460
"25001","Barnstable County, Massachusetts",110706,118730
"25003","Berkshire County, Massachusetts",63103,65660
"25005","Bristol County, Massachusetts",281769,294930
"25007","Dukes County, Massachusetts",10091,10452
"25009","Essex County, Massachusetts",392144,413959
"25011","Franklin County, Massachusetts",35030,35950
"25013","Hampden County, Massachusetts",226201,238374
"25015","Hampshire County, Massachusetts",72786,81145
"25017","Middlesex County, Massachusetts",802270,820839
"25019","Nantucket County, Massachusetts",7722,6343
"25021","Norfolk County, Massachusetts",350867,371245
"25023","Plymouth County, Massachusetts",259441,270107
"25025","Suffolk County, Massachusetts",380529,404914
"25027","Worcester County, Massachusetts",426680,432218
"26001","Alcona County, Michigan",5199,5039
"26003","Alger County, Michigan",4943,3923
"26005","Allegan County, Michigan",60422,59767
"26007","Alpena County, Michigan",14366,14545
"26009","Antrim County, Michigan",11833,11829
"26011","Arenac County, Michigan",7684,7347
"26013","Baraga County, Michigan",4572,3673
"26015","Barry County, Michigan",31577,31004
"26017","Bay County, Michigan",51394,52358
"26019","Benzie County, Michigan",9065,8993
"26021","Berrien County, Michigan",75863,78075
"26023","Branch County, Michigan",23151,21644
"26025","Calhoun County, Michigan",66230,67781
"26027","Cass County, Michigan",25911,25693
"26029","Charlevoix County, Michigan",13106,13068
"26031","Cheboygan County, Michigan",13072,12637
"26033","Chippewa County, Michigan",19879,16791
"26035","Clare County, Michigan",15586,15412
"26037","Clinton County, Michigan",39424,39825
"26039","Crawford County, Michigan",6782,6415
"26041","Delta County, Michigan",18645,18194
"26043","Dickinson County, Michigan",13219,12718
"26045","Eaton County, Michigan",54056,55016
"26047","Emmet County, Michigan",17083,16989
"26049","Genesee County, Michigan",196717,208563
"26051","Gladwin County, Michigan",12823,12638
"26053","Gogebic County, Michigan",7649,6948
"26055","Grand Traverse County, Michigan",47300,48015
"26057","Gratiot County, Michigan",22438,19096
"26059","Hillsdale County, Michigan",22937,22761
"26061","Houghton County, Michigan",20576,16838
"26063","Huron County, Michigan",15783,15678
"26065","Ingham County, Michigan",138535,144005
"26067","Ionia County, Michigan",36307,30356
"26069","Iosco County, Michigan",12647,12672
"26071","Iron County, Michigan",5871,5714
"26073","Isabella County, Michigan",31554,33384
"26075","Jackson County, Michigan",82776,77861
"26077","Kalamazoo County, Michigan",128595,132831
"26079","Kalkaska County, Michigan",9122,8812
"26081","Kent County, Michigan",326880,330441
"26083","Keweenaw County, Michigan",1093,995
"26085","Lake County, Michigan",6753,5532
"26087","Lapeer County, Michigan",45727,42960
"26089","Leelanau County, Michigan",11155,11271
"26091","Lenawee County, Michigan",50546,48717
"26093","Livingston County, Michigan",98266,96036
"26095","Luce County, Michigan",2865,2577
"26097","Mackinac County, Michigan",5594,5249
"26099","Macomb County, Michigan",431113,447340
"26101","Manistee County, Michigan",12966,12092
"26103","Marquette County, Michigan",33782,32594
"26105","Mason County, Michigan",14609,14569
"26107","Mecosta County, Michigan",20158,19970
"26109","Menominee County, Michigan",12105,11328
"26111","Midland County, Michigan",41623,41880
"26113","Missaukee County, Michigan",7634,7455
"26115","Monroe County, Michigan",77273,77550
"26117","Montcalm County, Michigan",35863,31038
"26119","Montmorency County, Michigan",4727,4534
"26121","Muskegon County, Michigan",88360,87587
"26123","Newaygo County, Michigan",25483,24647
"26125","Oakland County, Michigan",629093,643171
"26127","Oceana County, Michigan",13698,13009
"26129","Ogemaw County, Michigan",10528,10292
"26131","Ontonagon County, Michigan",3005,2857
"26133","Osceola County, Michigan",11774,11248
"26135","Oscoda County, Michigan",4231,4033
"26137","Otsego County, Michigan",12768,12453
